codigo,descricao_curta,Peso,altura,largura,comprimento,preco
292,TORNOZELEIRA CORACAO VAZADO MINI BANH OURO 18K - T97,,,,,"45,90"
293,TORNOZELEIRA CORACAO VAZADO MINI RODIO BRANCO - T97,,,,,"39,90"
294,TORNOZELEIRA CORACAO VAZADO E PEDRAS BANH OURO - T172,,,,,"75,90"
296,TORNOZELEIRA COM PING CORACAO CRISTAL BANH OURO 18K- T123,,,,,"67,90"
297,TORNOZELEIRA COM PING CORACAO CRISTAL RODIO BRANCO - T123,,,,,"55,90"
299,TORNOZELEIRA INDIANA RODIO BRANCO - T155,,,,,"79,90"
300,TORNOZELEIRA CORACAO CHEIO BANH OURO 18K - T186,,,,,"115,90"
301,TORNOZELEIRA CORACAO CHEIO RODIO BRANCO - T186,,,,,"89,90"
302,TORNOZELEIRA ESFERAS SORTIDAS BANH OURO 18K - T86,,,,,"69,90"
303,TORNOZELEIRA ESFERAS SORTIDAS RODIO BRANCO - T86,,,,,"62,90"
304,TORNOZELEIRA ESFERAS MED BANH OURO 18K - T181,,,,,"65,90"
305,TORNOZELEIRA ESFERAS MED RODIO BRANCO - T181,,,,,"52,90"
307,TORNOZELEIRA MOEDAS E PEDRAS RODIO BRANCO - T88,,,,,"55,90"
308,TORNOZELEIRA TORCIDA C MINI ESFERAS BANH OURO 18K - TR00775,,,,,"65,90"
309,TORNEZELEIRA TORCIDA C MINI ESFERAS RODIO BRANCO - TR00775,,,,,"54,90"
310,TORNOZELEIRA TORCIDA COM PEDRA MED CRISTAL BANH OURO 18K - TR00088,,,,,"59,90"
311,TORNOZELEIRA TORCIDA COM PEDRA MED CRISTAL RODIO BRANCO -TR00085,,,,,"54,90"
312,TORNOZELEIRA C CORACAO VAZADO N MEIO BANH OURO 18K - TR0565,,,,,"63,90"
313,TORNOZELEIRA C CORACAO VAZADO N MEIO RODIO BRANCO - TR0565,,,,,"54,90"
314,TORNOZELEIRA CORACAO VAZ MED C COR CRISTAL BANH OURO 18K - TR655,,,,,"75,90"
315,TORNOZELEIRA CORACAO VAZ MEDIO COR CRISTAL RODIO BRANCO - TR655,,,,,"64,90"
